method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
prox,1024,8,361,4.886556625366211,4.901235895694459,-0.014679270328247895,0.014679270328247895,0.002995014041487587,0.00021548097736977907,0.3740234375,-0.7
ipw,1024,8,361,4.211587905883789,4.901235895694459,-0.6896479898106698,0.6896479898106698,0.1407089975849761,0.4756143498498977,0.3740234375,-0.7
impute,1024,8,361,-0.9126032590866089,4.901235895694459,-5.813839154781068,5.813839154781068,1.1861985993957758,33.80072571766544,0.3740234375,-0.7
scope,1024,8,361,4.586210581374685,4.901235895694459,-0.3150253143197741,0.3150253143197741,0.06427466888433411,0.09924094866227247,0.3740234375,-0.7
naive,1024,8,362,4.182353496551514,4.902593615827269,-0.720240119275755,0.720240119275755,0.14691001859721162,0.5187458294143539,0.3624267578125,-0.7
prox,1024,8,362,4.926774978637695,4.902593615827269,0.0241813628104266,0.0241813628104266,0.004932361257184522,0.0005847383073694825,0.3624267578125,-0.7
ipw,1024,8,362,4.025406360626221,4.902593615827269,-0.877187255201048,0.877187255201048,0.1789231015128776,0.7694574806871485,0.3624267578125,-0.7
impute,1024,8,362,-0.8847314715385437,4.902593615827269,-5.787325087365812,5.787325087365812,1.1804619229875233,33.49313166685371,0.3624267578125,-0.7
scope,1024,8,362,4.14908229919337,4.902593615827269,-0.7535113166338991,0.7535113166338991,0.15369646674390958,0.5677793042953522,0.3624267578125,-0.7
naive,1024,8,363,4.096652984619141,4.895515111354583,-0.7988621267354423,0.7988621267354423,0.16318244527170875,0.6381806975322739,0.3719482421875,-0.7
prox,1024,8,363,4.914346694946289,4.895515111354583,0.018831583591706114,0.018831583591706114,0.0038467011465307148,0.00035462854057141495,0.3719482421875,-0.7
ipw,1024,8,363,4.111928939819336,4.895515111354583,-0.783586171535247,0.783586171535247,0.16006204734570406,0.6140072882212656,0.3719482421875,-0.7
impute,1024,8,363,2.240724802017212,4.895515111354583,-2.654790309337371,2.654790309337371,0.5422902899798819,7.047911586551614,0.3719482421875,-0.7
scope,1024,8,363,5.171566346450455,4.895515111354583,0.27605123509587237,0.27605123509587237,0.056388598302067,0.0762042843979566,0.3719482421875,-0.7
naive,1024,8,364,4.264716148376465,4.894216619769019,-0.6295004713925545,0.6295004713925545,0.1286212933137936,0.3962708434834483,0.359619140625,-0.7
prox,1024,8,364,5.009680271148682,4.894216619769019,0.1154636513796623,0.1154636513796623,0.023591855520508524,0.013331854789924193,0.359619140625,-0.7
ipw,1024,8,364,3.019587993621826,4.894216619769019,-1.8746286261471932,1.8746286261471932,0.38302935317065423,3.514232485970513,0.359619140625,-0.7
impute,1024,8,364,-6.5966339111328125,4.894216619769019,-11.490850530901831,11.490850530901831,2.3478426525886253,132.03964592352688,0.359619140625,-0.7
scope,1024,8,364,4.847519655516384,4.894216619769019,-0.04669696425263492,0.04669696425263492,0.009541254072002797,0.002180606470411864,0.359619140625,-0.7
naive,1024,8,365,4.118752956390381,4.881087184759796,-0.762334228369415,0.762334228369415,0.15618123576027262,0.5811534757435913,0.365234375,-0.7
prox,1024,8,365,4.894011974334717,4.881087184759796,0.012924789574920936,0.012924789574920936,0.002647932537504343,0.0001670501855559849,0.365234375,-0.7
ipw,1024,8,365,4.034473419189453,4.881087184759796,-0.8466137655703427,0.8466137655703427,0.1734477860206477,0.7167548680531952,0.365234375,-0.7
impute,1024,8,365,-3.6559078693389893,4.881087184759796,-8.536995054098785,8.536995054098785,1.7489945848035289,72.88028455370711,0.365234375,-0.7
